Transition, Time (secs), Satisfiable
transition__S03__a__S03__mediante_met_requestLockerAccess,0.008,false
transition__S01__a__S02__mediante_met_revokeAccessFromThirdParty,0.01,false
transition__S03__a__S04__mediante_met_requestLockerAccess,0.01,true
transition__S01__a__S03__mediante_met_revokeAccessFromThirdParty,0.008,false
transition__S03__a__S05__mediante_met_requestLockerAccess,0.006,false
transition__S01__a__S04__mediante_met_revokeAccessFromThirdParty,0.007,false
transition__S03__a__S06__mediante_met_requestLockerAccess,0.006,false
transition__S01__a__S05__mediante_met_revokeAccessFromThirdParty,0.006,false
transition__S04__a__S01__mediante_met_requestLockerAccess,0.008,false
transition__S01__a__S06__mediante_met_revokeAccessFromThirdParty,0.008,false
transition__S04__a__S02__mediante_met_requestLockerAccess,0.006,false
transition__S02__a__S01__mediante_met_revokeAccessFromThirdParty,0.008,false
transition__S04__a__S03__mediante_met_requestLockerAccess,0.007,false
transition__S02__a__S02__mediante_met_revokeAccessFromThirdParty,0.005,false
transition__S04__a__S04__mediante_met_requestLockerAccess,0.005,false
transition__S02__a__S03__mediante_met_revokeAccessFromThirdParty,0.006,false
transition__S02__a__S04__mediante_met_revokeAccessFromThirdParty,0.008,false
transition__S04__a__S05__mediante_met_requestLockerAccess,0.011,false
transition__S02__a__S05__mediante_met_revokeAccessFromThirdParty,0.007,false
transition__S04__a__S06__mediante_met_requestLockerAccess,0.007,false
transition__S02__a__S06__mediante_met_revokeAccessFromThirdParty,0.002,false
transition__S05__a__S01__mediante_met_requestLockerAccess,0.0,false
transition__S01__a__S01__mediante_met_terminate,0.008,false
transition__S05__a__S02__mediante_met_requestLockerAccess,0.013,false
transition__S01__a__S02__mediante_met_terminate,0.006,false
transition__S05__a__S03__mediante_met_requestLockerAccess,0.006,false
transition__S01__a__S03__mediante_met_terminate,0.006,false
transition__S05__a__S04__mediante_met_requestLockerAccess,0.003,false
transition__S01__a__S04__mediante_met_terminate,0.003,false
transition__S05__a__S05__mediante_met_requestLockerAccess,0.0,false
transition__S01__a__S05__mediante_met_terminate,0.0,false
transition__S01__a__S06__mediante_met_terminate,0.0,false
transition__S05__a__S06__mediante_met_requestLockerAccess,0.009,false
transition__S02__a__S01__mediante_met_terminate,0.008,false
transition__S03__a__S01__mediante_met_releaseLockerAccess,0.008,false
transition__S02__a__S02__mediante_met_terminate,0.01,false
transition__S03__a__S02__mediante_met_releaseLockerAccess,0.006,false
transition__S03__a__S03__mediante_met_releaseLockerAccess,0.006,false
transition__S02__a__S03__mediante_met_terminate,0.006,false
transition__S03__a__S04__mediante_met_releaseLockerAccess,0.0,false
transition__S02__a__S04__mediante_met_terminate,0.0,false
transition__S02__a__S05__mediante_met_terminate,0.005,false
transition__S03__a__S05__mediante_met_releaseLockerAccess,0.005,false
transition__S03__a__S06__mediante_met_releaseLockerAccess,0.005,false
transition__S02__a__S06__mediante_met_terminate,0.005,false
transition__S04__a__S01__mediante_met_releaseLockerAccess,0.001,false
transition__S04__a__S02__mediante_met_releaseLockerAccess,0.0,false
transition__S04__a__S03__mediante_met_releaseLockerAccess,0.0,false
transition__S04__a__S04__mediante_met_releaseLockerAccess,0.016,false
transition__S04__a__S05__mediante_met_releaseLockerAccess,0.0,false
transition__S04__a__S06__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S01__mediante_met_releaseLockerAccess,0.0,false
transition__S05__a__S02__mediante_met_releaseLockerAccess,0.0,false
transition__S05__a__S03__mediante_met_releaseLockerAccess,0.024,true
transition__S05__a__S04__mediante_met_releaseLockerAccess,0.0,false
transition__S05__a__S05__mediante_met_releaseLockerAccess,0.0,false
transition__S05__a__S06__mediante_met_releaseLockerAccess,0.015,false
transition__S03__a__S01__mediante_met_revokeAccessFromThirdParty,0.005,false
transition__S03__a__S02__mediante_met_revokeAccessFromThirdParty,0.01,false
transition__S03__a__S03__mediante_met_revokeAccessFromThirdParty,0.006,false
