Transition, Time (secs), Satisfiable
transition__S02__a__S08__mediante_met_acceptOffer,0.006,false
transition__S09__a__S06__mediante_met_makeOffer,0.006,false
transition__S02__a__S09__mediante_met_acceptOffer,0.004,false
transition__S09__a__S07__mediante_met_makeOffer,0.007,false
transition__S02__a__S10__mediante_met_acceptOffer,0.001,false
transition__S09__a__S08__mediante_met_makeOffer,0.006,false
transition__S03__a__S01__mediante_met_acceptOffer,0.01,false
transition__S09__a__S09__mediante_met_makeOffer,0.006,false
transition__S03__a__S02__mediante_met_acceptOffer,0.006,false
transition__S09__a__S10__mediante_met_makeOffer,0.004,false
transition__S05__a__S01__mediante_met_acceptOffer,0.0,false
transition__S03__a__S03__mediante_met_acceptOffer,0.0,false
transition__S05__a__S02__mediante_met_acceptOffer,0.0,false
transition__S03__a__S04__mediante_met_acceptOffer,0.0,false
transition__S05__a__S03__mediante_met_acceptOffer,0.022,false
transition__S03__a__S05__mediante_met_acceptOffer,0.022,false
transition__S03__a__S06__mediante_met_acceptOffer,0.006,false
transition__S05__a__S04__mediante_met_acceptOffer,0.006,false
transition__S05__a__S05__mediante_met_acceptOffer,0.006,false
transition__S03__a__S07__mediante_met_acceptOffer,0.006,false
transition__S03__a__S08__mediante_met_acceptOffer,0.005,false
transition__S05__a__S06__mediante_met_acceptOffer,0.007,false
transition__S05__a__S07__mediante_met_acceptOffer,0.006,false
transition__S03__a__S09__mediante_met_acceptOffer,0.007,false
transition__S03__a__S10__mediante_met_acceptOffer,0.006,false
transition__S05__a__S08__mediante_met_acceptOffer,0.006,false
transition__S05__a__S09__mediante_met_acceptOffer,0.005,false
transition__S04__a__S01__mediante_met_acceptOffer,0.005,false
transition__S05__a__S10__mediante_met_acceptOffer,0.0,false
transition__S04__a__S02__mediante_met_acceptOffer,0.0,false
transition__S06__a__S01__mediante_met_acceptOffer,0.012,false
transition__S04__a__S03__mediante_met_acceptOffer,0.005,false
transition__S06__a__S02__mediante_met_acceptOffer,0.007,false
transition__S04__a__S04__mediante_met_acceptOffer,0.007,false
transition__S04__a__S05__mediante_met_acceptOffer,0.004,false
transition__S06__a__S03__mediante_met_acceptOffer,0.004,false
transition__S06__a__S04__mediante_met_acceptOffer,0.007,false
transition__S04__a__S06__mediante_met_acceptOffer,0.008,false
transition__S06__a__S05__mediante_met_acceptOffer,0.005,false
transition__S04__a__S07__mediante_met_acceptOffer,0.007,false
transition__S06__a__S06__mediante_met_acceptOffer,0.006,false
transition__S04__a__S08__mediante_met_acceptOffer,0.004,false
transition__S06__a__S07__mediante_met_acceptOffer,0.0,false
transition__S04__a__S09__mediante_met_acceptOffer,0.0,false
transition__S06__a__S08__mediante_met_acceptOffer,0.011,false
transition__S04__a__S10__mediante_met_acceptOffer,0.011,false
transition__S01__a__S01__mediante_met_reject,0.009,false
transition__S06__a__S09__mediante_met_acceptOffer,0.008,false
transition__S01__a__S02__mediante_met_reject,0.008,false
transition__S06__a__S10__mediante_met_acceptOffer,0.007,false
transition__S01__a__S03__mediante_met_reject,0.004,false
transition__S07__a__S01__mediante_met_acceptOffer,0.004,false
transition__S07__a__S02__mediante_met_acceptOffer,0.01,false
transition__S01__a__S04__mediante_met_reject,0.011,false
transition__S01__a__S05__mediante_met_reject,0.006,false
transition__S07__a__S03__mediante_met_acceptOffer,0.009,false
transition__S01__a__S06__mediante_met_reject,0.008,false
transition__S07__a__S04__mediante_met_acceptOffer,0.007,false
transition__S01__a__S07__mediante_met_reject,0.005,false
transition__S07__a__S05__mediante_met_acceptOffer,0.003,false
transition__S07__a__S06__mediante_met_acceptOffer,0.005,false
transition__S01__a__S08__mediante_met_reject,0.009,false
transition__S07__a__S07__mediante_met_acceptOffer,0.007,false
transition__S01__a__S09__mediante_met_reject,0.005,false
transition__S01__a__S10__mediante_met_reject,0.006,false
transition__S07__a__S08__mediante_met_acceptOffer,0.006,false
transition__S07__a__S09__mediante_met_acceptOffer,0.013,false
transition__S02__a__S01__mediante_met_reject,0.017,true
transition__S07__a__S10__mediante_met_acceptOffer,0.009,false
transition__S02__a__S02__mediante_met_reject,0.007,false
transition__S08__a__S01__mediante_met_acceptOffer,0.007,false
transition__S02__a__S03__mediante_met_reject,0.006,false
transition__S08__a__S02__mediante_met_acceptOffer,0.003,false
transition__S02__a__S04__mediante_met_reject,0.002,false
transition__S02__a__S05__mediante_met_reject,0.008,false
transition__S08__a__S03__mediante_met_acceptOffer,0.008,false
transition__S02__a__S06__mediante_met_reject,0.007,false
transition__S08__a__S04__mediante_met_acceptOffer,0.007,false
transition__S02__a__S07__mediante_met_reject,0.006,false
transition__S08__a__S05__mediante_met_acceptOffer,0.007,false
transition__S08__a__S06__mediante_met_acceptOffer,0.005,false
transition__S02__a__S08__mediante_met_reject,0.006,false
transition__S02__a__S09__mediante_met_reject,0.005,false
transition__S08__a__S07__mediante_met_acceptOffer,0.007,false
transition__S02__a__S10__mediante_met_reject,0.004,false
transition__S08__a__S08__mediante_met_acceptOffer,0.004,false
transition__S08__a__S09__mediante_met_acceptOffer,0.005,false
transition__S03__a__S01__mediante_met_reject,0.011,true
transition__S08__a__S10__mediante_met_acceptOffer,0.005,false
transition__S03__a__S02__mediante_met_reject,0.006,false
transition__S09__a__S01__mediante_met_acceptOffer,0.008,false
transition__S03__a__S03__mediante_met_reject,0.006,false
transition__S09__a__S02__mediante_met_acceptOffer,0.007,false
transition__S03__a__S04__mediante_met_reject,0.006,false
transition__S09__a__S03__mediante_met_acceptOffer,0.006,false
transition__S03__a__S05__mediante_met_reject,0.007,false
transition__S09__a__S04__mediante_met_acceptOffer,0.007,false
transition__S03__a__S06__mediante_met_reject,0.007,false
transition__S09__a__S05__mediante_met_acceptOffer,0.006,false
transition__S03__a__S07__mediante_met_reject,0.004,false
transition__S09__a__S06__mediante_met_acceptOffer,0.002,false
transition__S09__a__S07__mediante_met_acceptOffer,0.009,false
transition__S03__a__S08__mediante_met_reject,0.009,false
transition__S09__a__S08__mediante_met_acceptOffer,0.009,false
transition__S03__a__S09__mediante_met_reject,0.009,false
transition__S03__a__S10__mediante_met_reject,0.006,false
transition__S09__a__S09__mediante_met_acceptOffer,0.006,false
